iter	Passed	Remaining
0	1	674
1	2	592
2	4	564
3	5	542
4	6	536
5	8	527
6	9	518
7	10	523
8	12	530
9	13	524
10	14	518
11	15	514
12	17	512
13	18	521
14	20	518
15	21	516
16	23	525
17	24	524
18	26	521
19	27	528
20	29	530
21	30	526
22	32	525
23	33	530
24	35	528
25	36	523
26	37	519
27	38	515
28	39	510
29	41	506
30	42	502
31	43	501
32	45	502
33	46	500
34	47	497
35	48	494
36	50	490
37	51	490
38	52	489
39	54	486
40	55	484
41	56	481
42	57	480
43	59	480
44	61	481
45	62	480
46	63	478
47	64	476
48	66	473
49	67	471
50	68	470
51	70	468
52	71	466
53	72	464
54	73	462
55	74	459
56	76	461
57	77	459
58	79	457
59	80	456
60	81	453
61	82	451
62	84	449
63	85	447
64	86	445
65	87	443
66	88	441
67	90	439
68	91	438
69	92	438
70	94	438
71	95	436
72	97	435
73	98	433
74	99	432
75	101	432
76	103	433
77	104	432
78	105	430
79	107	428
80	108	427
81	110	428
82	112	428
83	113	427
84	115	426
85	116	425
86	118	425
87	119	424
88	121	426
89	123	424
90	124	422
91	126	423
92	127	421
93	128	419
94	130	417
95	131	415
96	133	416
97	134	414
98	136	413
99	137	413
100	139	411
101	140	410
102	142	410
103	143	409
104	145	407
105	146	405
106	147	404
107	149	403
108	150	401
109	151	400
110	152	398
111	154	396
112	155	395
113	157	394
114	158	393
115	160	392
116	161	390
117	163	389
118	164	389
119	166	387
120	167	385
121	168	384
122	169	382
123	171	380
124	172	379
125	173	378
126	175	377
127	177	377
128	178	375
129	180	374
130	182	373
131	183	372
132	184	370
133	186	369
134	188	369
135	189	367
136	190	366
137	192	365
138	193	363
139	194	362
140	196	360
141	197	358
142	198	356
143	199	355
144	201	353
145	202	352
146	203	350
147	205	349
148	206	347
149	207	346
150	209	345
151	210	343
152	212	342
153	213	340
154	214	339
155	215	337
156	217	336
157	218	334
158	219	333
159	221	332
160	222	330
161	224	329
162	225	328
163	226	326
164	228	324
165	229	323
166	230	321
167	232	320
168	233	319
169	235	318
170	236	316
171	237	314
172	238	313
173	240	311
174	241	310
175	242	309
176	244	307
177	245	305
178	246	304
179	247	302
180	249	301
181	250	299
182	251	298
183	253	297
184	254	295
185	256	294
186	257	293
187	258	291
188	260	290
189	261	289
190	262	287
191	264	286
192	265	284
193	267	283
194	268	281
195	270	281
196	271	279
197	273	278
198	274	277
199	275	275
200	277	274
201	278	272
202	279	271
203	280	269
204	282	268
205	283	266
206	284	265
207	286	264
208	287	262
209	288	260
210	290	260
211	291	258
212	292	257
213	294	255
214	295	254
215	296	252
216	298	251
217	299	250
218	300	248
219	301	247
220	303	245
221	304	244
222	305	242
223	307	241
224	308	240
225	309	238
226	310	237
227	312	235
228	313	234
229	314	232
230	316	231
231	317	230
232	318	228
233	320	227
234	321	225
235	323	224
236	324	222
237	325	221
238	327	220
239	328	219
240	330	217
241	331	216
242	332	214
243	333	213
244	335	211
245	336	210
246	337	209
247	339	207
248	340	206
249	341	204
250	342	203
251	344	202
252	345	200
253	346	199
254	347	197
255	349	196
256	350	195
257	351	193
258	353	192
259	354	190
260	356	189
261	357	188
262	358	186
263	360	185
264	361	184
265	363	182
266	364	181
267	365	180
268	367	178
269	368	177
270	369	175
271	370	174
272	372	173
273	373	171
274	375	170
275	376	169
276	377	167
277	379	166
278	380	165
279	381	163
280	383	162
281	384	160
282	385	159
283	387	158
284	388	156
285	390	155
286	391	154
287	392	152
288	394	151
289	395	149
290	396	148
291	397	147
292	399	145
293	400	144
294	401	142
295	403	141
296	404	140
297	406	139
298	407	137
299	408	136
300	410	135
301	411	133
302	413	132
303	414	130
304	415	129
305	416	128
306	418	126
307	420	125
308	422	124
309	423	122
310	424	121
311	426	120
312	427	118
313	428	117
314	430	116
315	431	114
316	432	113
317	434	111
318	435	110
319	436	109
320	438	107
321	439	106
322	440	105
323	442	103
324	443	102
325	444	100
326	445	99
327	447	98
328	448	96
329	449	95
330	450	93
331	451	92
332	453	91
333	455	89
334	456	88
335	457	87
336	458	85
337	460	84
338	461	83
339	463	81
340	464	80
341	465	78
342	467	77
343	468	76
344	470	74
345	471	73
346	473	72
347	474	70
348	475	69
349	476	68
350	478	66
351	479	65
352	480	63
353	482	62
354	483	61
355	484	59
356	485	58
357	487	57
358	488	55
359	489	54
360	491	53
361	492	51
362	493	50
363	495	48
364	496	47
365	497	46
366	499	44
367	500	43
368	501	42
369	503	40
370	505	39
371	506	38
372	507	36
373	508	35
374	510	34
375	511	32
376	512	31
377	513	29
378	515	28
379	516	27
380	517	25
381	519	24
382	520	23
383	522	21
384	523	20
385	524	19
386	526	17
387	527	16
388	529	14
389	530	13
390	531	12
391	532	10
392	534	9
393	535	8
394	537	6
395	538	5
396	539	4
397	541	2
398	542	1
399	543	0
